Dir   aB    eB   iB     aC    eC    iC    rBf       EBf     aBf   eBf    iBf       rCf       ECf       aCf    eCf    iCf   logtB    destB   logtC    destC
  3 27.2 0.377  0.0  157.9 0.005  60.5  35.62  -3.4e+37   27.16  0.35    0.9  100001.9   3.1e+33 -71162.74   1.02   84.8     7.0        - 6.17899  ejected
  3 25.0  0.12  0.0  189.6 0.014  74.0  27.94  -3.6e+37   25.01  0.13    0.1   99917.9   7.8e+35   -284.19  12.27   82.7     6.0        - 5.23416  ejected
  3 26.6 0.487  0.0  641.3 0.482 122.2  18.68  -3.4e+37   26.61  0.49    0.5   99874.6   3.3e+35   -662.11   7.81  146.1     6.0        -  5.4125  ejected
  3 24.7 0.269  0.0  493.8 0.383  75.5  25.95  -3.7e+37   24.68  0.27    0.3   99995.8   4.4e+34  -4977.04   2.31   72.6     6.0        - 5.74688  ejected
  3 25.5 0.267  0.0  366.5 0.284  12.9  30.21  -3.6e+37   25.51  0.24    0.3   99811.7   3.5e+35   -638.12  73.33  152.3     6.0        - 5.43925  ejected
  3 26.8  0.03  0.0  398.6 0.378  38.9  26.37  -3.4e+37    26.8  0.02    0.0   99146.8   3.7e+34  -5975.05   2.19   37.1     7.0        - 6.02428  ejected
  3 27.9 0.376  0.0  372.3 0.369  62.3  19.29  -3.3e+37   27.91  0.37    0.6   99999.0   1.1e+35  -1971.37   15.4  111.5     6.0        - 5.61067  ejected
  3 26.8 0.274  0.0  460.5 0.393 123.3  26.84  -3.4e+37   26.77  0.32    2.1    9839.6  -1.5e+34  14559.16   0.74   37.4     9.0        -     9.0        -
  3 24.8 0.034  0.0  208.3  0.34  89.7  24.39  -3.7e+37   24.81  0.12   50.2     439.7  -7.2e+35    305.58   0.49   35.7     9.0        -     9.0        -
  3 27.6  0.38  0.0 1061.8 0.706  76.4  17.25  -3.3e+37   27.54  0.38    0.3   99599.5   6.8e+35   -323.29  24.96   95.8     6.0        - 5.26235  ejected
  3 24.8  0.34  0.0   57.8 0.327  11.9  19.27  -4.9e+37   18.53  0.15    8.5   99991.8   4.8e+36    -45.75 136.64  104.5     5.0        - 4.86477  ejected
  3 24.2 0.422  0.0  348.4 0.082  43.9  17.75  -3.8e+37   24.19  0.42    0.4   99939.3   3.1e+35   -707.72  36.08   33.4     6.0        - 5.41798  ejected
  3 25.6 0.442  0.0  102.8 0.158 121.9   6.02  -3.8e+37   23.81  0.76   36.1   99953.3   2.1e+35  -1033.55   8.92   75.7     6.0        - 5.58916  ejected
  3 25.4 0.121  0.0  109.7 0.709  41.4  26.71  -3.6e+37   25.42  0.13    0.1  100007.7   1.3e+35  -1718.89   23.8   95.5     6.0        - 5.59464  ejected
  3 25.5 0.111  0.0  332.7 0.568  87.4  27.88  -3.7e+37   24.43   0.3   15.2   99686.2   2.1e+33 -106693.08   1.25   85.9     7.0        - 6.22977  ejected
  3 26.0 0.384  0.0  248.6 0.279  30.3  36.53  -3.5e+37   26.02  0.41  112.3   11788.0  -3.3e+34   6609.63    0.9   56.4     9.0        -     9.0        -
  3 27.2  0.27  0.0  253.1 0.075  86.3   24.8  -3.3e+37   27.19  0.36   71.2     161.1    -7e+35     317.3   0.57   66.1     9.0        -     9.0        -
  4 26.9  0.36  0.0  313.7  0.03 114.6  28.49  -3.4e+37   26.91  0.35    0.3   99997.9   4.5e+35   -492.53  15.75  129.5     6.0        - 5.34064  ejected
  4 25.1 0.257  0.0  297.8 0.018  28.3  40.19  -3.8e+37   24.15   0.7   62.1   99931.2   2.6e+35   -844.66   1.02   54.3     7.0        - 6.00883  ejected
  4 27.0 0.331  0.0  298.2 0.304  53.9  19.15  -3.4e+37   26.98  0.32    0.4   99912.8   1.1e+36   -197.72  72.62  122.1     6.0        - 5.15695  ejected
  4 27.9 0.256  0.0  195.1 0.212 147.9  20.46  -3.3e+37   27.93  0.27    0.1   99886.1   1.2e+36   -189.24 124.12  170.3     6.0        - 5.17161  ejected
  4 25.6 0.161  0.0  200.5 0.115  21.6    0.0      -inf    -0.0   nan    nan  100000.0      -nan      -0.0    nan    nan 5.38692  ejected 5.39705  ejected
  4 25.2 0.424  0.0  280.1 0.278  86.6  35.82  -3.6e+37   25.11  0.57   25.8     145.8  -9.3e+34   2368.38   0.95   10.9     9.0        -     9.0        -
  4 24.9  0.05  0.0  177.6 0.157 144.2  24.17  -3.7e+37   24.92  0.04    0.0   99601.6   1.2e+36   -189.36  65.06   89.5     6.0        - 5.16678  ejected
  4 28.1  0.48  0.0   89.7 0.337 131.9  14.66  -5.7e+37   16.04  0.47   20.1  100007.6   1.9e+37     -11.5 144.82  105.9     5.0        - 4.57894  ejected
  4 24.3 0.204  0.0  676.1 0.582  35.6  28.33  -3.7e+37   24.29  0.21    0.2   99582.4   9.9e+35   -223.78  53.47  108.9     6.0        - 5.19271  ejected
  4 25.5 0.484  0.0  240.1 0.435  77.3  38.02  -3.6e+37   25.47  0.49    0.7   99049.7   2.1e+34 -10742.37   1.99   71.9     7.0        - 6.07184  ejected
  4 27.1 0.258  0.0  326.1  0.02 104.0  28.06  -3.5e+37   25.68  0.13    3.0   99630.2   1.5e+36    -147.1 135.68   86.1     6.0        -  5.1125  ejected
  4 24.9 0.458  0.0  287.1 0.589   5.0  30.62  -3.7e+37   24.89  0.48    0.6   99997.9     1e+36   -215.87 111.26  151.7     6.0        - 5.19953  ejected
  4 27.1 0.272  0.0   64.6 0.251  14.0   29.2  -4.3e+37    21.1  0.39   12.5  100011.6   1.7e+35  -1320.29   2.38   87.6     6.0        - 5.54976  ejected
  4 25.5 0.057  0.0  113.1 0.081 136.1   27.9  -3.6e+37   25.04  0.11   14.9   13625.6  -2.2e+34   9957.14   0.37   79.9     9.0        -     9.0        -
  4 24.4 0.027  0.0  189.9 0.174  49.3  15.93  -3.9e+37   23.45  0.92   68.1   12707.9  -2.4e+34   9337.37   0.57   77.0     9.0        -     9.0        -
  4 25.7 0.231  0.0  165.9 0.222  40.4   30.0  -3.7e+37    24.5  0.25    3.1  100007.8   8.6e+34  -2579.87  15.43  102.6     6.0        - 5.71782  ejected
  4 26.3 0.388  0.0  563.4 0.386 161.8  34.62  -3.5e+37   26.33   0.4    1.1  100012.4   6.4e+34  -3482.76   2.37   83.6     6.0        - 5.68593  ejected
  4 27.4 0.178  0.0  345.9 0.532   6.7  24.66  -3.3e+37   27.44  0.19    0.0  100005.4     6e+35   -371.76  17.56  160.1     6.0        - 5.29969  ejected
  4 24.7 0.328  0.0  128.5 0.107  98.9  31.59  -3.8e+37   23.85   0.9   31.3   98181.3   1.3e+35  -1704.63   1.05   64.5     7.0        - 6.18416  ejected
  4 25.3 0.215  0.0  388.6 0.387   6.3  21.57  -3.6e+37   25.27  0.22    0.0   99716.8   1.4e+36   -163.09  20.92  148.8     6.0        - 5.12338  ejected
  4 28.0 0.498  0.0  408.1 0.113  89.8  39.33  -3.3e+37   27.97  0.51    0.6   99985.9   2.4e+36    -91.89 165.37  145.8     6.0        - 5.01057  ejected
  4 24.4 0.494  0.0  538.4 0.672 169.7  12.35  -3.8e+37   24.09  0.49   70.4    8419.6    -4e+34   5595.02   0.95   13.6     9.0        -     9.0        -
  5 23.9  0.42  0.0  292.2 0.204 179.1  28.11  -3.8e+37   23.72  0.47    5.5   98003.9  -3.3e+33  67354.87    1.0  164.8     8.0        - 7.58877  ejected
  5 23.6 0.138  0.0  291.4 0.455 141.0  22.64  -3.9e+37   23.57  0.14    0.1   99848.0   5.2e+35   -425.96   9.14   49.3     6.0        - 5.31377  ejected
  5 24.8 0.066  0.0   55.5 0.358  85.6   10.2  -4.8e+37    19.1  0.48   10.7  100009.2   4.9e+36    -45.47 125.65   28.7     5.0        - 4.87914  ejected
  5 23.6 0.365  0.0  765.6  0.61  22.7  23.64  -3.9e+37   23.63  0.35    0.1   99847.1   8.4e+33 -26367.27   1.15   53.8     7.0        - 6.02225  ejected
