Dir   aB    eB   iB     aC    eC    iC    rBf       EBf     aBf   eBf    iBf       rCf       ECf       aCf    eCf    iCf   logtB    destB   logtC    destC      dEAB     dEpsC
  2 26.6 0.508  0.0  357.2  0.33 124.8  37.24 -4.33e+06   25.21  0.58   23.0   99973.8  -2.1e+03  77806.61   0.99  148.5     7.0        - 6.74539  ejected -2.31e+05  3.99e+03
  2 27.2 0.464  0.0  388.2 0.122 107.9   16.9 -9.81e+07    9.22  0.85  106.2    5280.9 -3.53e+05   2714.01   0.99  153.8     9.0        -     9.0        - -4.45e+07  3.75e+06
  2 27.0 0.485  0.0  188.3 0.133  72.2  43.77 -4.14e+06   26.39  0.67   53.6     480.9 -2.13e+05    767.44   0.83   62.1     9.0        -     9.0        - -9.29e+04  6.67e+04
  2 26.6 0.369  0.0  109.9 0.071 100.6  13.88 -1.12e+07    9.78   0.6  114.8   99938.6  1.09e+06   -150.45 160.37   27.1     6.0        - 5.48048  ejected -7.06e+06  3.29e+06
  2 26.9 0.167  0.0  109.5 0.226  36.9  19.88 -6.84e+06   15.95  0.42    2.6   99490.0  4.43e+04   -3695.1    1.2  137.0     7.0        - 6.23242  ejected -2.79e+06  1.81e+06
  2 24.5   0.4  0.0  131.2 0.259  66.2    nan  1.63e+07   -6.71 486.46  128.5       nan       nan       nan    nan    nan 5.12338  ejected 5.44569  ejected  2.07e+07       nan
  2 27.6 0.442  0.0  898.5  0.69 122.5  47.24 -3.95e+06   27.62  0.71    2.7   99856.8     3e+03 -54503.95   1.32  155.2     7.0        - 6.58843  ejected -2.33e+03 -1.03e+06
  2 25.8 0.058  0.0  329.1 0.637 145.9  41.16 -4.22e+06   25.86  0.69   63.1    2620.8 -2.14e+04   7655.02   0.68   50.3     9.0        -     9.0        -   1.9e+04 -2.63e+05
  2 27.7 0.209  0.0  260.0 0.735  98.2   39.3 -3.94e+06   27.67  0.54    5.5   99256.5  6.34e+04  -2581.24   1.53  116.7     7.0        - 6.20675  ejected       480 -2.78e+05
  2 25.3 0.354  0.0  104.8  0.62 108.8  20.37 -6.27e+06    17.4  0.83   78.6   49521.7 -5.26e+03  31125.56   0.59   87.6     9.0        -     9.0        - -1.95e+06  1.43e+06
  2 26.1 0.253  0.0  226.3 0.701 155.5 100000.0       inf    -0.0   nan    nan   74325.8      -nan       nan    nan    nan 4.35923  ejected 4.26039  ejected       inf      -nan
  2 25.7 0.131  0.0  237.8 0.447 116.2  21.75 -4.59e+06   23.78  0.44   12.2   99469.9 -1.21e+03 135036.85    1.0   11.1     8.0        - 7.80645  ejected -3.48e+05  2.57e+05
  2 26.2  0.02  0.0  232.8  0.01  81.4  13.46 -5.09e+06   21.45  0.49   22.7   98890.5 -1.74e+03  94039.43    1.0   85.5     8.0        - 7.37471  ejected -9.22e+05  6.97e+05
  2 25.0 0.477  0.0  252.3 0.312  49.0  34.13  -5.1e+06   21.38  0.76   83.4   24901.0  -1.2e+04  13691.66   0.97   64.7     9.0        -     9.0        - -7.46e+05  5.58e+05
  2 23.9 0.163  0.0  119.4 0.031  59.3  21.84 -4.59e+06    23.8  0.08    2.4   99529.9  1.71e+05   -955.18   7.49  140.4     7.0        - 6.03898  ejected -1.54e+04 -8.49e+05
